index,train,train_label,val,val_label,test,test_label
191,1046,0,665,0,880,0
192,650,0,1011,0,380,1
193,998,1,860,0,985,0
194,615,0,740,0,905,0
195,198,1,967,0,877,0
196,211,0,45,1,707,0
197,538,0,146,0,1007,0
198,440,1,476,0,1033,0
199,940,0,55,0,377,0
200,179,0,143,0,800,0
201,382,1,1051,1,280,1
202,316,0,929,0,182,0
203,801,0,246,0,956,0
204,671,0,845,0,356,0
205,597,0,582,1,418,0
206,851,0,598,0,510,0
207,19,0,257,0,901,0
208,862,0,731,0,566,1
209,250,0,218,0,614,1
210,855,0,487,0,177,1
211,181,0,,,,
212,935,0,,,,
213,994,1,,,,
214,289,0,,,,
215,872,1,,,,
216,850,0,,,,
217,61,0,,,,
218,577,0,,,,
219,153,0,,,,
220,503,0,,,,
221,475,1,,,,
222,29,0,,,,
223,204,0,,,,
224,228,0,,,,
225,358,0,,,,
226,497,0,,,,
227,217,0,,,,
228,828,1,,,,
229,1049,1,,,,
230,247,0,,,,
231,835,0,,,,
232,726,0,,,,
233,111,0,,,,
234,682,1,,,,
235,987,0,,,,
236,292,0,,,,
237,415,0,,,,
238,1009,0,,,,
239,1016,1,,,,
240,730,1,,,,
241,6,1,,,,
242,191,0,,,,
243,509,1,,,,
244,309,1,,,,
245,13,1,,,,
246,517,0,,,,
247,14,0,,,,
248,12,0,,,,
249,853,0,,,,
250,869,0,,,,
251,675,0,,,,
252,1,0,,,,
253,225,0,,,,
254,532,0,,,,
255,595,0,,,,
256,140,0,,,,
257,219,0,,,,
258,858,0,,,,
259,720,0,,,,
260,647,0,,,,
261,907,0,,,,
262,60,0,,,,
263,1053,0,,,,
264,824,0,,,,
265,633,0,,,,
266,722,0,,,,
267,656,0,,,,
268,696,1,,,,
269,625,0,,,,
270,655,0,,,,
271,562,0,,,,
272,201,0,,,,
273,457,0,,,,
274,100,1,,,,
275,27,0,,,,
276,864,1,,,,
277,349,1,,,,
278,229,0,,,,
279,87,0,,,,
280,174,0,,,,
281,176,1,,,,
282,821,0,,,,
283,807,1,,,,
284,986,0,,,,
285,818,0,,,,
286,427,0,,,,
287,381,0,,,,
288,394,0,,,,
289,480,0,,,,
290,343,1,,,,
291,58,0,,,,
292,1039,0,,,,
293,21,0,,,,
294,644,0,,,,
295,887,0,,,,
296,1002,0,,,,
297,649,0,,,,
298,531,0,,,,
299,144,0,,,,
300,838,0,,,,
301,438,0,,,,
302,272,1,,,,
303,599,0,,,,
304,491,1,,,,
305,414,0,,,,
306,283,0,,,,
307,53,1,,,,
308,958,0,,,,
309,421,0,,,,
310,698,0,,,,
311,896,0,,,,
312,391,0,,,,
313,584,0,,,,
314,407,0,,,,
315,945,0,,,,
316,515,0,,,,
317,295,0,,,,
318,813,1,,,,
319,561,0,,,,
320,357,0,,,,
321,949,0,,,,
322,892,0,,,,
323,761,0,,,,
324,558,0,,,,
325,981,0,,,,
326,259,0,,,,
327,628,0,,,,
328,423,1,,,,
329,952,0,,,,
330,699,0,,,,
331,281,0,,,,
332,631,0,,,,
333,993,1,,,,
334,167,0,,,,
335,885,0,,,,
336,588,1,,,,
337,805,0,,,,
338,82,0,,,,
339,1022,0,,,,
340,982,0,,,,
341,350,0,,,,
342,526,0,,,,
343,1004,0,,,,
344,1050,0,,,,
345,1045,0,,,,
346,918,1,,,,
347,39,0,,,,
348,894,0,,,,
349,826,0,,,,
350,31,1,,,,
351,384,0,,,,
352,846,1,,,,
353,968,0,,,,
354,205,0,,,,
355,533,0,,,,
356,464,0,,,,
357,278,0,,,,
358,688,0,,,,
359,523,0,,,,
360,751,0,,,,
361,991,0,,,,
362,741,1,,,,
363,437,0,,,,
364,976,0,,,,
365,145,0,,,,
366,744,0,,,,
367,364,0,,,,
368,387,1,,,,
369,77,1,,,,
370,1001,0,,,,
371,323,0,,,,
372,261,0,,,,
373,10,0,,,,
374,189,1,,,,
375,700,0,,,,
376,84,1,,,,
377,883,0,,,,
378,104,1,,,,
379,564,0,,,,
380,752,0,,,,
381,937,0,,,,
382,573,0,,,,
383,960,0,,,,
384,206,1,,,,
385,679,0,,,,
386,173,0,,,,
387,680,0,,,,
388,287,0,,,,
389,8,0,,,,
390,54,0,,,,
391,445,0,,,,
392,315,0,,,,
393,258,1,,,,
394,461,0,,,,
395,346,0,,,,
396,241,0,,,,
397,1056,0,,,,
398,717,0,,,,
399,345,1,,,,
400,389,0,,,,
401,906,0,,,,
402,867,0,,,,
403,337,1,,,,
404,417,0,,,,
405,834,1,,,,
406,571,1,,,,
407,657,0,,,,
408,589,0,,,,
409,298,0,,,,
410,549,0,,,,
411,1041,0,,,,
412,115,0,,,,
413,810,0,,,,
414,732,0,,,,
415,400,1,,,,
416,753,0,,,,
417,547,1,,,,
418,950,0,,,,
419,841,0,,,,
420,505,0,,,,
421,459,0,,,,
422,881,1,,,,
423,237,0,,,,
424,285,0,,,,
425,155,1,,,,
426,1034,0,,,,
427,121,0,,,,
428,778,0,,,,
429,764,1,,,,
430,202,0,,,,
431,454,1,,,,
432,565,0,,,,
433,723,0,,,,
434,43,0,,,,
435,91,0,,,,
436,310,0,,,,
437,213,0,,,,
438,663,0,,,,
439,578,0,,,,
440,26,0,,,,
441,791,0,,,,
442,63,0,,,,
443,590,1,,,,
444,746,1,,,,
445,904,1,,,,
446,195,0,,,,
447,1003,0,,,,
448,24,0,,,,
449,557,0,,,,
450,587,1,,,,
451,489,0,,,,
452,72,0,,,,
453,109,1,,,,
454,48,1,,,,
455,328,0,,,,
456,431,0,,,,
457,560,0,,,,
458,455,0,,,,
459,806,0,,,,
460,703,1,,,,
461,709,0,,,,
462,799,0,,,,
463,514,0,,,,
464,1057,0,,,,
465,444,1,,,,
466,955,0,,,,
467,643,0,,,,
468,248,0,,,,
469,165,1,,,,
470,664,0,,,,
471,797,0,,,,
472,921,0,,,,
473,607,0,,,,
474,342,0,,,,
475,962,0,,,,
476,186,0,,,,
477,433,0,,,,
478,574,0,,,,
479,413,0,,,,
480,893,0,,,,
481,1040,1,,,,
482,25,0,,,,
483,56,0,,,,
484,772,0,,,,
485,857,0,,,,
486,375,0,,,,
487,953,1,,,,
488,339,0,,,,
489,451,0,,,,
490,843,0,,,,
491,852,0,,,,
492,57,1,,,,
493,814,0,,,,
494,721,0,,,,
495,634,0,,,,
496,67,0,,,,
497,556,1,,,,
498,169,0,,,,
499,378,0,,,,
500,275,0,,,,
501,825,0,,,,
502,889,0,,,,
503,20,0,,,,
504,130,1,,,,
505,596,0,,,,
506,141,0,,,,
507,224,0,,,,
508,1024,0,,,,
509,297,0,,,,
510,207,0,,,,
511,977,0,,,,
512,17,0,,,,
513,486,0,,,,
514,94,0,,,,
515,733,0,,,,
516,255,0,,,,
517,429,0,,,,
518,593,0,,,,
519,430,0,,,,
520,308,0,,,,
521,137,0,,,,
522,773,0,,,,
523,990,0,,,,
524,159,0,,,,
525,138,0,,,,
526,676,0,,,,
527,59,0,,,,
528,274,0,,,,
529,320,0,,,,
530,393,1,,,,
531,78,0,,,,
532,114,0,,,,
533,632,0,,,,
534,62,0,,,,
535,1021,0,,,,
536,294,1,,,,
537,136,0,,,,
538,392,1,,,,
539,508,0,,,,
540,779,0,,,,
541,42,0,,,,
542,462,0,,,,
543,992,0,,,,
544,916,0,,,,
545,439,0,,,,
546,1019,1,,,,
547,85,0,,,,
548,34,0,,,,
549,178,0,,,,
550,318,0,,,,
551,738,0,,,,
552,30,0,,,,
553,641,1,,,,
554,139,0,,,,
555,369,1,,,,
556,426,0,,,,
557,539,0,,,,
558,187,0,,,,
559,704,0,,,,
560,354,0,,,,
561,495,0,,,,
562,811,0,,,,
563,243,0,,,,
564,90,0,,,,
565,416,0,,,,
566,1012,0,,,,
567,879,1,,,,
568,409,0,,,,
569,844,1,,,,
570,585,0,,,,
571,913,0,,,,
572,974,0,,,,
573,443,1,,,,
574,710,0,,,,
575,609,0,,,,
576,290,1,,,,
577,654,0,,,,
578,602,0,,,,
579,223,1,,,,
580,163,0,,,,
581,715,0,,,,
582,86,0,,,,
583,718,0,,,,
584,396,1,,,,
585,436,0,,,,
586,3,0,,,,
587,719,0,,,,
588,691,0,,,,
589,110,1,,,,
590,942,1,,,,
591,871,0,,,,
592,210,0,,,,
593,762,0,,,,
594,208,0,,,,
595,1028,0,,,,
596,483,0,,,,
597,127,0,,,,
598,288,0,,,,
599,1042,0,,,,
600,712,0,,,,
601,501,0,,,,
602,792,0,,,,
603,276,1,,,,
604,446,0,,,,
605,1036,0,,,,
606,848,0,,,,
607,911,0,,,,
608,804,0,,,,
609,540,1,,,,
610,1058,0,,,,
611,447,0,,,,
612,777,1,,,,
613,209,0,,,,
614,192,1,,,,
615,496,0,,,,
616,331,1,,,,
617,1048,0,,,,
618,321,0,,,,
619,621,1,,,,
620,92,0,,,,
621,490,0,,,,
622,470,0,,,,
623,627,1,,,,
624,1038,1,,,,
625,611,0,,,,
626,1043,0,,,,
627,530,0,,,,
628,849,0,,,,
629,336,0,,,,
630,554,0,,,,
631,979,0,,,,
632,1008,0,,,,
633,842,1,,,,
634,794,1,,,,
635,839,0,,,,
